Course,OutsideElective,ArtsCourses,DiscreteStructures,LinearAlgebra,ProbabilityStatistics,Calculus,Foundations,Systems,Capstone,ArchitecturePath,DataPath,DesignPath,MLPath,SecurityPath,SoftwarePath,CompBioPath,SystemsPath,TheoryPath,VisualCompPath
CSCI1810,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,c,f,r,f
CSCI1820,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,c,f,r,f
CSCI1850,f,f,f,f,f,f,f,f,f,f,f,f,c,f,f,c,f,f,f
CSCI1870,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1900,f,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,f,f,f
CSCI1950E,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950H,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,r,f
CSCI1950I,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950N,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,r
CSCI1950Q,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950R,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950S,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950T,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,c
CSCI1950U,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,r
CSCI1950V,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950W,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950X,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1950Y,f,f,f,f,f,f,f,f,f,f,f,f,f,r,c,f,r,r,f
CSCI1950Z,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951A,f,f,f,f,f,f,f,f,t,f,c,r,r,f,f,r,f,f,f
CSCI1951B,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951C,f,f,f,f,f,f,f,f,t,f,f,c,r,f,f,f,f,f,f
CSCI1951D,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951E,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951G,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,r,f
CSCI1951H,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951I,f,f,f,f,f,f,f,f,t,f,f,r,f,f,r,f,f,f,f
CSCI1951J,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951K,f,f,f,f,f,f,f,f,f,f,f,f,r,f,f,f,f,r,f
CSCI1951L,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,r,f,f
CSCI1951M,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951N,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1951O,f,f,f,f,f,f,f,f,f,r,f,r,f,f,f,f,f,f,f
CSCI1951R,f,f,f,f,f,f,f,f,f,f,f,f,c,f,f,f,f,f,f
CSCI1951S,f,f,f,f,f,f,f,f,f,f,f,r,f,f,r,f,f,f,c
CSCI1951T,f,f,f,f,f,f,f,f,f,f,f,r,f,f,r,f,f,f,c
CSCI1951U,f,f,f,f,f,f,f,f,t,f,f,f,f,f,c,f,f,f,f
CSCI1951V,f,f,f,f,f,f,f,f,f,f,f,c,f,f,f,f,r,f,r
CSCI1951W,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,c,f
CSCI1951X,f,f,f,f,f,f,f,f,t,f,f,f,f,f,r,f,f,c,f
CSCI1970,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
CSCI1971,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI1972,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2000,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2240,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,g
CSCI2270,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f,f
CSCI2300,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f,f
CSCI2310,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2330,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f
CSCI2340,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f
CSCI2370,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,g
CSCI2390,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,g,f,f
CSCI2410,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2420,f,f,f,f,f,f,f,f,t,f,f,f,g,f,f,f,f,f,f
CSCI2440,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2470,f,f,f,f,f,f,f,f,f,f,f,f,g,f,f,f,f,f,f
CSCI2500A,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,f
CSCI2500B,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,g,f
CSCI2510,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,g,f
CSCI2520,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2531,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2540,f,f,f,f,f,f,f,f,f,f,g,f,g,f,f,f,f,g,f
CSCI2550,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2560,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
CSCI2570,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
